question_id,subject,bloom_level,question_text,question_length,mean_score,std_dev,pass_rate,discrimination_index,difficulty_label
Q0439,Biology,Analyze,Differentiate between cellular respiration and mitosis.,6,51.53,12.07,0.48,0.32,Medium
Q0440,Physics,Evaluate,Assess whether gravitational force holds true in the given scenario.,10,34.37,18.33,0.44,0.65,Hard
Q0441,Biology,Evaluate,Assess the impact of mutations on natural selection.,8,32.05,13.09,0.23,0.73,Hard
Q0442,Biology,Apply,Demonstrate how mitosis affects the survival of the organism.,9,45.24,16.32,0.52,0.32,Medium
Q0443,Computer Science,Analyze,Compare TCP/IP protocol and neural networks in terms of performance.,10,50.46,13.74,0.5,0.49,Medium
Q0444,Computer Science,Create,Construct a database schema using principles of machine learning.,9,76.64,4.6,0.95,0.31,Medium
Q0445,Mathematics,Remember,What is the formula for integration?,6,61.59,14.14,0.68,0.44,Easy
Q0446,Physics,Analyze,Break down the forces acting in a system involving wave motion.,11,42.02,16.89,0.2,0.51,Medium
Q0447,Computer Science,Remember,Define the term TCP/IP protocol.,5,55.58,17.4,0.46,0.39,Easy
Q0448,Biology,Apply,Demonstrate how DNA replication affects the survival of the organism.,10,45.3,10.11,0.62,0.38,Medium
Q0449,Physics,Understand,Interpret the graph showing gravitational force over time.,8,93.96,5.4,0.79,0.21,Easy
Q0450,Biology,Apply,Demonstrate how natural selection affects the survival of the organism.,10,59.29,17.79,0.66,0.5,Easy
Q0451,Biology,Analyze,Break down the molecular mechanisms of genetic mutation.,8,90.0,8.17,0.86,0.1,Easy
Q0452,Physics,Analyze,Analyze how optics changes under different conditions.,7,59.05,13.68,0.57,0.47,Medium
Q0453,Biology,Create,Construct a phylogenetic tree based on cellular respiration.,8,88.61,4.82,0.84,0.24,Medium
Q0454,Biology,Remember,Define enzyme activity in biological terms.,6,61.99,14.06,0.62,0.46,Easy
Q0455,Physics,Create,Formulate a hypothesis about electromagnetism based on the data.,9,64.37,12.47,0.47,0.45,Medium
Q0456,Physics,Analyze,Compare gravitational force in elastic and inelastic collisions.,8,59.29,16.49,0.47,0.34,Medium
Q0457,Physics,Create,Construct a simulation to demonstrate electric circuits.,7,86.12,4.9,0.86,0.32,Medium
Q0458,Biology,Analyze,Analyze the relationship between natural selection and cellular respiration.,9,91.36,3.88,0.81,0.16,Easy
Q0459,Biology,Remember,What is mitosis?,3,93.42,6.31,0.76,0.29,Easy
Q0460,Computer Science,Remember,Define the term machine learning.,5,67.14,11.09,0.52,0.37,Easy
Q0461,Computer Science,Remember,List the types of encryption.,5,78.92,9.41,0.96,0.22,Easy
Q0462,Computer Science,Create,Create a flowchart illustrating the process of encryption.,8,59.77,12.57,0.67,0.52,Medium
Q0463,Physics,Apply,Apply the formula for quantum mechanics to solve the given problem.,11,50.68,8.9,0.54,0.4,Medium
Q0464,Mathematics,Evaluate,Critique the use of integration in the given scenario.,9,41.2,14.13,0.26,0.45,Hard
Q0465,Mathematics,Analyze,Differentiate between differential equations and statistics with examples.,8,34.93,19.56,0.29,0.52,Medium
Q0466,Computer Science,Create,Develop an algorithm based on encryption that improves efficiency.,9,29.74,14.54,0.19,0.6,Hard
Q0467,Physics,Create,Construct a simulation to demonstrate thermodynamics.,6,40.22,14.95,0.4,0.51,Hard
Q0468,Biology,Apply,Apply your knowledge of DNA replication to explain the given case study.,12,32.3,13.85,0.15,0.79,Medium
Q0469,Physics,Apply,Apply the formula for gravitational force to solve the given problem.,11,80.96,3.06,0.77,0.1,Easy
Q0470,Physics,Analyze,Compare momentum in elastic and inelastic collisions.,7,31.59,19.5,0.22,0.75,Hard
Q0471,Biology,Remember,What is mitosis?,3,49.54,16.96,0.53,0.4,Easy
Q0472,Biology,Analyze,Compare genetic mutation in prokaryotes and eukaryotes.,7,94.86,4.39,0.93,0.12,Easy
Q0473,Physics,Apply,Determine the value of quantum mechanics using the data provided.,10,88.21,8.21,0.88,0.13,Easy
Q0474,Physics,Remember,Define quantum mechanics in the context of physics.,8,25.44,11.36,0.32,0.56,Medium
Q0475,Biology,Understand,Summarize the role of mitosis in cell function.,8,71.05,8.48,0.86,0.25,Easy
Q0476,Computer Science,Analyze,Analyze the time complexity of recursion.,6,85.47,9.52,0.99,0.26,Easy
Q0477,Mathematics,Understand,Interpret the graph representing statistics.,5,52.92,13.58,0.64,0.39,Easy
Q0478,Biology,Apply,Calculate the rate of natural selection given the experimental data.,10,26.27,10.47,0.35,0.65,Medium
Q0479,Physics,Apply,Calculate the relativity of an object with mass 5kg and velocity 10m/s.,12,26.88,19.98,0.42,0.64,Medium
Q0480,Biology,Apply,Use the concept of photosynthesis to predict the outcome of the experiment.,12,33.54,15.45,0.37,0.63,Medium
Q0481,Computer Science,Apply,Demonstrate the use of encryption in the given scenario.,9,36.46,16.47,0.24,0.63,Medium
Q0482,Physics,Apply,Apply the formula for electromagnetism to solve the given problem.,10,53.05,8.96,0.65,0.31,Medium
Q0483,Computer Science,Remember,List the types of sorting algorithms.,6,47.47,13.71,0.7,0.46,Easy
Q0484,Computer Science,Evaluate,Evaluate the trade-offs between TCP/IP protocol and sorting algorithms.,9,20.33,21.05,0.33,0.77,Hard
Q0485,Physics,Evaluate,Judge the accuracy of the experiment measuring relativity.,8,42.26,19.86,0.38,0.47,Hard
Q0486,Mathematics,Apply,Apply statistics to determine the missing variable.,7,75.4,6.64,0.77,0.16,Easy
Q0487,Computer Science,Evaluate,Justify the use of TCP/IP protocol in large-scale systems.,9,49.47,15.49,0.57,0.33,Medium
Q0488,Mathematics,Understand,Interpret the graph representing matrices.,5,33.75,16.06,0.33,0.64,Medium
Q0489,Physics,Apply,Apply the formula for wave motion to solve the given problem.,11,60.83,16.26,0.55,0.36,Medium
Q0490,Physics,Apply,Calculate the relativity of an object with mass 5kg and velocity 10m/s.,12,31.19,14.77,0.35,0.79,Medium
Q0491,Physics,Remember,What is the SI unit of relativity?,7,50.55,16.56,0.46,0.51,Easy
Q0492,Computer Science,Remember,Define the term dynamic programming.,5,78.89,3.97,0.84,0.25,Easy
Q0493,Mathematics,Evaluate,Justify why integration is preferred over linear algebra.,8,67.95,15.34,0.67,0.5,Medium
Q0494,Physics,Remember,What is the SI unit of wave motion?,8,34.41,10.94,0.12,0.72,Medium
Q0495,Mathematics,Understand,Explain the concept of trigonometry with an example.,8,41.24,21.14,0.32,0.67,Medium
Q0496,Mathematics,Apply,Apply integration to determine the missing variable.,7,48.74,13.02,0.52,0.31,Medium
Q0497,Mathematics,Understand,Explain the concept of graph theory with an example.,9,64.66,9.48,0.55,0.42,Easy
Q0498,Physics,Remember,Define nuclear fission in the context of physics.,8,55.86,14.98,0.68,0.42,Easy
Q0499,Computer Science,Evaluate,Justify the use of operating system scheduling in large-scale systems.,10,63.39,10.46,0.47,0.49,Medium
Q0500,Mathematics,Create,Formulate a new equation using the principles of probability.,9,54.13,9.9,0.55,0.46,Medium
Q0501,Biology,Evaluate,Evaluate the significance of mitosis in evolution.,7,71.12,8.73,0.8,0.19,Medium
Q0502,Computer Science,Evaluate,Evaluate the trade-offs between dynamic programming and encryption.,8,41.72,19.84,0.1,0.69,Hard
Q0503,Biology,Remember,Name the organelles involved in immune response.,7,63.5,10.12,0.61,0.49,Easy
Q0504,Mathematics,Analyze,Break down the steps involved in solving calculus.,8,61.59,8.43,0.5,0.37,Medium
Q0505,Mathematics,Remember,What is the formula for trigonometry?,6,51.78,16.52,0.65,0.52,Easy
Q0506,Computer Science,Analyze,Analyze the time complexity of machine learning.,7,62.74,17.04,0.6,0.45,Medium
Q0507,Biology,Evaluate,Critique the experimental design used to study DNA replication.,9,20.54,12.97,0.29,0.57,Hard
Q0508,Physics,Create,Design an experiment to measure quantum mechanics accurately.,8,60.63,10.36,0.74,0.43,Medium
Q0509,Mathematics,Evaluate,Critique the use of graph theory in the given scenario.,10,25.64,14.1,0.24,0.5,Hard
Q0510,Biology,Understand,Describe how natural selection contributes to homeostasis.,7,55.66,11.12,0.63,0.41,Easy
Q0511,Computer Science,Understand,Describe the role of operating system scheduling in modern computing.,10,62.63,13.24,0.49,0.55,Easy
Q0512,Physics,Remember,State Newton's law related to gravitational force.,7,68.72,9.18,0.55,0.52,Easy
Q0513,Biology,Apply,Use the concept of mitosis to predict the outcome of the experiment.,12,68.34,16.94,0.73,0.37,Easy
Q0514,Computer Science,Remember,Define the term neural networks.,5,35.3,13.2,0.3,0.53,Medium
Q0515,Physics,Remember,What is the SI unit of electromagnetism?,7,56.92,13.02,0.63,0.48,Easy
Q0516,Biology,Analyze,Differentiate between osmosis and natural selection.,6,74.83,3.23,0.93,0.1,Easy
Q0517,Computer Science,Understand,Summarize the working of TCP/IP protocol.,6,93.18,9.9,0.96,0.22,Easy
Q0518,Biology,Analyze,Analyze the relationship between protein synthesis and cellular respiration.,9,35.2,19.89,0.35,0.59,Medium
Q0519,Biology,Analyze,Analyze the relationship between protein synthesis and cellular respiration.,9,21.06,21.95,0.28,0.59,Hard
Q0520,Mathematics,Understand,Interpret the graph representing trigonometry.,5,79.95,5.13,0.95,0.22,Easy
Q0521,Computer Science,Analyze,Compare database normalization and TCP/IP protocol in terms of performance.,10,31.29,18.67,0.14,0.72,Hard
Q0522,Physics,Analyze,Analyze how quantum mechanics changes under different conditions.,8,81.34,9.28,0.96,0.32,Easy
Q0523,Computer Science,Create,Create a flowchart illustrating the process of encryption.,8,22.28,18.47,0.32,0.48,Hard
Q0524,Biology,Evaluate,Assess the impact of mutations on DNA replication.,8,64.21,17.12,0.62,0.46,Medium
Q0525,Computer Science,Create,Develop an algorithm based on binary trees that improves efficiency.,10,77.7,8.11,0.98,0.17,Medium
Q0526,Computer Science,Remember,What is operating system scheduling in computer science?,8,51.33,12.59,0.71,0.44,Easy
Q0527,Computer Science,Understand,Describe the role of encryption in modern computing.,8,56.89,12.1,0.47,0.45,Easy
Q0528,Computer Science,Remember,List the types of recursion.,5,71.38,5.44,0.78,0.11,Easy
Q0529,Mathematics,Remember,Define integration in mathematics.,4,49.46,14.72,0.63,0.47,Easy
Q0530,Mathematics,Remember,What is the formula for trigonometry?,6,28.07,20.77,0.39,0.72,Medium
Q0531,Computer Science,Remember,What is binary trees in computer science?,7,51.86,13.27,0.61,0.47,Easy
Q0532,Mathematics,Analyze,Break down the steps involved in solving trigonometry.,8,35.12,19.46,0.35,0.6,Medium
Q0533,Physics,Understand,Describe the relationship between quantum mechanics and energy.,8,57.41,15.29,0.6,0.5,Easy
Q0534,Mathematics,Remember,List the properties of differential equations.,6,85.64,3.83,0.95,0.3,Easy
Q0535,Physics,Apply,Calculate the quantum mechanics of an object with mass 5kg and velocity 10m/s.,13,60.94,8.11,0.51,0.37,Medium
Q0536,Physics,Remember,Define optics in the context of physics.,7,78.33,5.77,0.89,0.34,Easy
Q0537,Physics,Create,Formulate a hypothesis about relativity based on the data.,9,56.86,8.36,0.49,0.34,Medium
Q0538,Biology,Analyze,Analyze the relationship between natural selection and cellular respiration.,9,21.4,16.25,0.3,0.69,Hard
Q0539,Physics,Remember,Define electric circuits in the context of physics.,8,27.01,10.37,0.44,0.67,Medium
Q0540,Computer Science,Evaluate,Justify the use of database normalization in large-scale systems.,9,89.56,5.16,0.96,0.28,Easy
Q0541,Biology,Understand,Summarize the role of photosynthesis in cell function.,8,65.74,11.03,0.61,0.34,Easy
Q0542,Mathematics,Analyze,Differentiate between graph theory and trigonometry with examples.,8,64.98,17.05,0.5,0.39,Medium
Q0543,Physics,Understand,Describe the relationship between momentum and energy.,7,22.46,21.79,0.28,0.8,Medium
Q0544,Biology,Create,Design an experiment to test the effect of temperature on cellular respiration.,12,22.9,13.73,0.12,0.75,Hard
Q0545,Mathematics,Remember,Define matrices in mathematics.,4,61.47,11.12,0.62,0.38,Easy
Q0546,Computer Science,Apply,Use binary trees to optimize the following algorithm.,8,77.98,6.09,0.78,0.14,Easy
Q0547,Mathematics,Understand,Describe how probability works in real-world scenarios.,7,58.73,10.71,0.73,0.5,Easy
Q0548,Physics,Evaluate,Evaluate the impact of thermodynamics on energy conservation.,8,33.51,10.61,0.11,0.77,Hard
Q0549,Mathematics,Remember,List the properties of number theory.,6,49.47,13.96,0.63,0.51,Easy
Q0550,Physics,Apply,Determine the value of electric circuits using the data provided.,10,37.82,18.05,0.29,0.79,Medium
Q0551,Mathematics,Create,Construct a proof for statistics.,5,56.39,14.84,0.66,0.42,Medium
Q0552,Physics,Apply,Determine the value of nuclear fission using the data provided.,10,62.49,14.65,0.69,0.52,Easy
Q0553,Mathematics,Analyze,Analyze the relationship between graph theory and linear algebra.,9,81.97,8.92,0.82,0.19,Easy
Q0554,Biology,Create,Formulate a research question about immune response in the context of disease.,12,28.15,17.79,0.38,0.64,Hard
Q0555,Computer Science,Evaluate,Critique the design of database normalization in the given system.,10,73.98,6.38,0.77,0.15,Medium
Q0556,Computer Science,Understand,Illustrate the concept of recursion using a diagram.,8,46.95,17.31,0.62,0.42,Easy
Q0557,Mathematics,Analyze,Differentiate between matrices and graph theory with examples.,8,93.9,3.49,0.78,0.3,Easy
Q0558,Mathematics,Remember,Define probability in mathematics.,4,73.47,7.07,0.93,0.3,Easy
Q0559,Physics,Analyze,Break down the forces acting in a system involving wave motion.,11,56.18,10.06,0.71,0.37,Medium
Q0560,Mathematics,Evaluate,Assess the limitations of graph theory in real-world applications.,9,94.66,5.83,0.78,0.17,Medium
Q0561,Mathematics,Create,Develop a solution strategy for number theory that minimizes errors.,10,69.47,9.1,0.53,0.31,Medium
Q0562,Physics,Create,Develop a theoretical model incorporating relativity.,6,54.54,13.45,0.65,0.42,Medium
Q0563,Physics,Analyze,Analyze how electromagnetism changes under different conditions.,7,94.94,7.69,0.78,0.12,Easy
Q0564,Biology,Understand,Illustrate the cycle of immune response with a diagram.,9,86.06,5.91,0.86,0.3,Easy
Q0565,Biology,Evaluate,Evaluate the significance of immune response in evolution.,8,65.5,11.85,0.52,0.41,Medium
Q0566,Computer Science,Create,Create a flowchart illustrating the process of recursion.,8,55.27,13.46,0.56,0.54,Medium
Q0567,Biology,Create,Construct a phylogenetic tree based on genetic mutation.,8,88.25,6.68,0.96,0.29,Medium
Q0568,Mathematics,Evaluate,Evaluate the efficiency of graph theory in solving complex problems.,10,22.21,15.67,0.36,0.79,Hard
Q0569,Mathematics,Apply,Use differential equations to find the area of the given figure.,11,45.27,12.54,0.72,0.44,Medium
Q0570,Physics,Apply,Use the concept of momentum to explain the given experiment.,10,87.38,7.18,0.82,0.3,Easy
Q0571,Computer Science,Evaluate,Evaluate the trade-offs between machine learning and operating system scheduling.,10,94.76,8.66,0.9,0.17,Easy
Q0572,Mathematics,Apply,Calculate the value of number theory given the following data.,10,85.39,4.93,0.81,0.29,Easy
Q0573,Biology,Apply,Apply your knowledge of cellular respiration to explain the given case study.,12,26.53,18.41,0.27,0.73,Medium
Q0574,Computer Science,Evaluate,Assess the security implications of using TCP/IP protocol.,8,23.85,15.95,0.45,0.72,Hard
Q0575,Computer Science,Evaluate,Assess the security implications of using TCP/IP protocol.,8,28.63,17.71,0.36,0.49,Hard
Q0576,Biology,Apply,Calculate the rate of genetic mutation given the experimental data.,10,68.71,17.22,0.52,0.47,Easy
Q0577,Computer Science,Evaluate,Evaluate the trade-offs between binary trees and operating system scheduling.,10,20.3,21.13,0.26,0.69,Hard
Q0578,Physics,Analyze,Break down the forces acting in a system involving electric circuits.,11,61.3,10.73,0.53,0.5,Medium
Q0579,Biology,Create,Develop a model to explain the mechanism of cellular respiration.,10,38.36,17.06,0.17,0.57,Hard
Q0580,Mathematics,Create,Formulate a new equation using the principles of statistics.,9,71.7,5.88,0.88,0.27,Medium
Q0581,Physics,Understand,Describe the relationship between electric circuits and energy.,8,85.48,3.4,0.89,0.32,Easy
Q0582,Mathematics,Remember,Define linear algebra in mathematics.,5,23.25,17.88,0.41,0.65,Medium
Q0583,Physics,Apply,Determine the value of gravitational force using the data provided.,10,68.4,14.39,0.73,0.37,Easy
Q0584,Computer Science,Remember,List the types of machine learning.,6,71.56,5.72,0.99,0.16,Easy
Q0585,Mathematics,Analyze,Differentiate between statistics and linear algebra with examples.,8,25.02,14.71,0.33,0.49,Hard
Q0586,Biology,Create,Design an experiment to test the effect of temperature on genetic mutation.,12,70.87,3.49,0.92,0.29,Medium
Q0587,Mathematics,Remember,List the properties of integration.,5,51.66,15.0,0.72,0.44,Easy
Q0588,Biology,Create,Formulate a research question about mitosis in the context of disease.,11,39.63,16.48,0.1,0.78,Hard
Q0589,Physics,Apply,Use the concept of thermodynamics to explain the given experiment.,10,55.02,14.32,0.74,0.32,Easy
Q0590,Physics,Create,Formulate a hypothesis about thermodynamics based on the data.,9,83.86,9.77,0.91,0.17,Medium
Q0591,Biology,Remember,Define genetic mutation in biological terms.,6,30.95,12.27,0.11,0.46,Medium
Q0592,Mathematics,Evaluate,Evaluate the efficiency of calculus in solving complex problems.,9,57.49,17.65,0.69,0.54,Medium
Q0593,Mathematics,Apply,Apply graph theory to determine the missing variable.,8,21.07,11.42,0.38,0.68,Medium
Q0594,Computer Science,Remember,What is neural networks in computer science?,7,73.54,7.58,0.86,0.33,Easy
Q0595,Mathematics,Understand,Explain the concept of linear algebra with an example.,9,67.62,16.21,0.48,0.45,Easy
Q0596,Biology,Evaluate,Critique the experimental design used to study cellular respiration.,9,25.51,19.65,0.25,0.73,Hard
Q0597,Computer Science,Apply,Write a program to implement dynamic programming.,7,39.83,19.17,0.31,0.57,Medium
Q0598,Biology,Understand,Explain the process of immune response in living organisms.,9,58.84,12.39,0.73,0.31,Easy
Q0599,Computer Science,Remember,List the types of database normalization.,6,22.02,10.09,0.42,0.7,Medium
Q0600,Computer Science,Understand,Explain how operating system scheduling works with an example.,9,76.77,6.15,0.81,0.14,Easy
Q0601,Biology,Evaluate,Assess the impact of mutations on natural selection.,8,35.68,19.39,0.22,0.45,Hard
Q0602,Mathematics,Evaluate,Justify why trigonometry is preferred over calculus.,7,64.03,13.4,0.52,0.49,Medium
Q0603,Computer Science,Remember,What is sorting algorithms in computer science?,7,37.13,21.62,0.27,0.51,Medium
Q0604,Physics,Understand,Explain relativity using everyday examples.,5,53.36,16.05,0.68,0.31,Easy
Q0605,Computer Science,Remember,List the types of database normalization.,6,47.9,16.95,0.67,0.45,Easy
Q0606,Physics,Understand,Interpret the graph showing optics over time.,7,28.15,11.18,0.36,0.75,Medium
Q0607,Biology,Evaluate,Critique the experimental design used to study cellular respiration.,9,67.26,9.45,0.73,0.41,Medium
Q0608,Biology,Create,Design an experiment to test the effect of temperature on enzyme activity.,12,78.96,4.89,0.83,0.11,Medium
Q0609,Mathematics,Analyze,Analyze the relationship between number theory and graph theory.,9,49.28,11.44,0.72,0.45,Medium
Q0610,Computer Science,Remember,What does dynamic programming stand for?,6,58.04,16.62,0.51,0.42,Easy
Q0611,Biology,Create,Develop a model to explain the mechanism of immune response.,10,26.2,15.21,0.18,0.77,Hard
Q0612,Biology,Remember,Name the organelles involved in mitosis.,6,81.77,8.38,0.76,0.23,Easy
Q0613,Biology,Understand,Summarize the role of enzyme activity in cell function.,9,88.83,7.85,0.85,0.15,Easy
Q0614,Mathematics,Remember,What is the formula for integration?,6,52.62,15.03,0.71,0.49,Easy
Q0615,Computer Science,Create,Design a system using database normalization to handle real-time data.,10,64.75,11.7,0.59,0.46,Medium
Q0616,Mathematics,Apply,"Solve the following problem using number theory: if x = 5, find y.",13,51.74,17.46,0.61,0.5,Medium
Q0617,Mathematics,Evaluate,Evaluate the efficiency of matrices in solving complex problems.,9,36.87,20.66,0.14,0.58,Hard
Q0618,Computer Science,Create,Develop an algorithm based on encryption that improves efficiency.,9,46.68,15.09,0.51,0.55,Hard
Q0619,Biology,Create,Develop a model to explain the mechanism of cellular respiration.,10,34.5,21.51,0.17,0.71,Hard
Q0620,Physics,Evaluate,Evaluate the impact of nuclear fission on energy conservation.,9,51.93,8.63,0.55,0.42,Medium
Q0621,Physics,Analyze,Analyze how optics changes under different conditions.,7,65.0,17.45,0.69,0.54,Medium
Q0622,Mathematics,Remember,What is the formula for probability?,6,49.47,17.58,0.47,0.34,Easy
Q0623,Computer Science,Understand,Describe the role of TCP/IP protocol in modern computing.,9,60.68,10.93,0.74,0.44,Easy
Q0624,Biology,Analyze,Differentiate between osmosis and cellular respiration.,6,20.54,12.27,0.11,0.73,Hard
Q0625,Physics,Analyze,Compare quantum mechanics in elastic and inelastic collisions.,8,62.42,16.42,0.58,0.38,Medium
Q0626,Physics,Understand,Interpret the graph showing electromagnetism over time.,7,69.27,15.7,0.46,0.39,Easy
Q0627,Physics,Understand,Describe the relationship between thermodynamics and energy.,7,40.98,18.31,0.33,0.5,Medium
Q0628,Physics,Evaluate,Judge the accuracy of the experiment measuring gravitational force.,9,76.51,4.29,0.88,0.11,Medium
Q0629,Physics,Analyze,Differentiate between electromagnetism and relativity.,5,49.06,11.02,0.73,0.4,Medium
Q0630,Physics,Understand,Interpret the graph showing quantum mechanics over time.,8,88.46,9.83,0.83,0.28,Easy
Q0631,Biology,Apply,Demonstrate how photosynthesis affects the survival of the organism.,9,63.29,17.0,0.49,0.44,Medium
Q0632,Computer Science,Analyze,Break down the architecture of neural networks.,7,53.16,14.08,0.51,0.43,Medium
Q0633,Mathematics,Evaluate,Critique the use of matrices in the given scenario.,9,36.93,21.49,0.44,0.59,Hard
Q0634,Mathematics,Create,Formulate a new equation using the principles of matrices.,9,48.7,16.54,0.56,0.39,Hard
Q0635,Physics,Analyze,Differentiate between quantum mechanics and electromagnetism.,6,22.19,18.73,0.26,0.8,Hard
Q0636,Biology,Create,Formulate a research question about protein synthesis in the context of disease.,12,23.49,17.05,0.13,0.52,Hard
Q0637,Mathematics,Evaluate,Critique the use of number theory in the given scenario.,10,22.21,14.91,0.42,0.6,Hard
Q0638,Computer Science,Understand,Summarize the working of TCP/IP protocol.,6,27.24,15.89,0.39,0.56,Medium
Q0639,Biology,Understand,Illustrate the cycle of mitosis with a diagram.,8,70.06,4.84,0.98,0.31,Easy
Q0640,Biology,Understand,Explain the process of immune response in living organisms.,9,62.2,10.45,0.49,0.37,Easy
Q0641,Biology,Evaluate,Judge the effectiveness of protein synthesis as a defense mechanism.,10,51.45,14.86,0.74,0.5,Medium
Q0642,Physics,Understand,Explain quantum mechanics using everyday examples.,6,48.65,12.61,0.66,0.39,Easy
Q0643,Biology,Create,Develop a model to explain the mechanism of DNA replication.,10,28.9,13.48,0.29,0.78,Hard
Q0644,Computer Science,Evaluate,Justify the use of binary trees in large-scale systems.,9,52.91,16.45,0.69,0.37,Medium
Q0645,Physics,Understand,Describe the relationship between thermodynamics and energy.,7,82.95,5.61,0.87,0.19,Easy
Q0646,Computer Science,Evaluate,Evaluate the trade-offs between database normalization and encryption.,8,74.71,9.28,0.9,0.31,Medium
Q0647,Mathematics,Remember,List the properties of number theory.,6,43.09,15.75,0.21,0.58,Medium
Q0648,Physics,Understand,Describe the relationship between optics and energy.,7,20.72,19.77,0.18,0.75,Medium
Q0649,Computer Science,Understand,Illustrate the concept of database normalization using a diagram.,9,71.97,7.84,0.94,0.12,Easy
Q0650,Computer Science,Remember,What is binary trees in computer science?,7,86.49,7.15,0.86,0.33,Easy
Q0651,Mathematics,Remember,State the calculus theorem.,4,43.0,12.46,0.42,0.51,Medium
Q0652,Computer Science,Create,Develop an algorithm based on encryption that improves efficiency.,9,43.72,14.17,0.16,0.63,Hard
Q0653,Mathematics,Evaluate,Evaluate the efficiency of linear algebra in solving complex problems.,10,33.22,18.59,0.44,0.51,Hard
Q0654,Biology,Apply,Calculate the rate of osmosis given the experimental data.,9,49.63,14.74,0.48,0.51,Medium
Q0655,Computer Science,Analyze,Break down the architecture of dynamic programming.,7,94.62,3.87,0.78,0.13,Easy
Q0656,Mathematics,Remember,List the properties of statistics.,5,47.89,10.84,0.63,0.38,Easy
Q0657,Biology,Apply,Demonstrate how DNA replication affects the survival of the organism.,10,30.7,20.28,0.41,0.73,Medium
Q0658,Biology,Create,Formulate a research question about immune response in the context of disease.,12,80.95,7.61,0.77,0.14,Medium
Q0659,Computer Science,Remember,Define the term database normalization.,5,49.98,10.0,0.7,0.4,Easy
Q0660,Physics,Create,Construct a simulation to demonstrate nuclear fission.,7,34.84,19.08,0.38,0.78,Hard
Q0661,Biology,Evaluate,Assess the impact of mutations on photosynthesis.,7,89.2,3.76,0.81,0.22,Medium
Q0662,Mathematics,Remember,State the number theory theorem.,5,45.67,9.79,0.63,0.38,Easy
Q0663,Mathematics,Create,Develop a solution strategy for graph theory that minimizes errors.,10,39.19,19.51,0.17,0.68,Hard
Q0664,Physics,Evaluate,Critique the assumptions made in the nuclear fission model.,9,68.81,8.32,0.58,0.53,Medium
Q0665,Biology,Analyze,Compare genetic mutation in prokaryotes and eukaryotes.,7,45.82,13.57,0.71,0.38,Medium
Q0666,Computer Science,Apply,Demonstrate the use of TCP/IP protocol in the given scenario.,10,32.19,11.31,0.34,0.68,Medium
Q0667,Computer Science,Evaluate,Justify the use of recursion in large-scale systems.,8,76.58,7.14,0.84,0.27,Medium
Q0668,Mathematics,Evaluate,Assess the limitations of differential equations in real-world applications.,9,90.92,5.44,0.93,0.11,Easy
Q0669,Biology,Apply,Demonstrate how immune response affects the survival of the organism.,10,30.3,10.68,0.19,0.53,Medium
Q0670,Mathematics,Apply,Apply number theory to determine the missing variable.,8,74.24,6.77,0.76,0.26,Easy
Q0671,Biology,Apply,Demonstrate how immune response affects the survival of the organism.,10,81.74,3.16,0.83,0.24,Easy
Q0672,Biology,Remember,Define immune response in biological terms.,6,50.15,12.97,0.69,0.47,Easy
Q0673,Physics,Analyze,Compare quantum mechanics in elastic and inelastic collisions.,8,85.89,9.82,0.77,0.31,Easy
Q0674,Mathematics,Apply,"Solve the following problem using number theory: if x = 5, find y.",13,30.05,12.71,0.36,0.48,Medium
Q0675,Physics,Remember,What is the SI unit of relativity?,7,58.28,12.27,0.55,0.32,Easy
Q0676,Biology,Create,Develop a model to explain the mechanism of photosynthesis.,9,50.0,12.02,0.64,0.41,Medium
Q0677,Computer Science,Evaluate,Critique the design of operating system scheduling in the given system.,11,61.52,16.24,0.73,0.37,Medium
Q0678,Computer Science,Apply,Demonstrate the use of recursion in the given scenario.,9,51.01,15.46,0.68,0.51,Medium
Q0679,Computer Science,Analyze,Compare binary trees and neural networks in terms of performance.,10,77.18,4.12,0.91,0.16,Easy
Q0680,Computer Science,Remember,What is neural networks in computer science?,7,90.68,6.25,0.88,0.21,Easy
Q0681,Physics,Understand,Explain nuclear fission using everyday examples.,6,89.74,4.94,0.88,0.26,Easy
Q0682,Mathematics,Remember,What is the formula for differential equations?,7,52.45,8.64,0.74,0.52,Easy
Q0683,Computer Science,Remember,List the types of TCP/IP protocol.,6,57.51,9.21,0.65,0.45,Easy
Q0684,Computer Science,Evaluate,Assess the security implications of using database normalization.,8,90.17,5.31,0.89,0.2,Easy
Q0685,Computer Science,Remember,What does encryption stand for?,5,94.25,6.08,0.81,0.25,Easy
Q0686,Mathematics,Apply,Calculate the value of matrices given the following data.,9,56.87,10.46,0.53,0.5,Medium
Q0687,Physics,Apply,Calculate the optics of an object with mass 5kg and velocity 10m/s.,12,94.17,7.24,0.95,0.27,Easy
Q0688,Biology,Apply,Use the concept of genetic mutation to predict the outcome of the experiment.,13,62.52,17.03,0.66,0.43,Easy
Q0689,Mathematics,Analyze,Break down the steps involved in solving statistics.,8,42.95,13.61,0.43,0.71,Medium
Q0690,Biology,Create,Design an experiment to test the effect of temperature on genetic mutation.,12,65.31,14.44,0.69,0.37,Medium
Q0691,Biology,Apply,Apply your knowledge of cellular respiration to explain the given case study.,12,41.92,19.84,0.39,0.69,Medium
Q0692,Physics,Analyze,Compare momentum in elastic and inelastic collisions.,7,64.05,14.41,0.51,0.41,Medium
